Predictor variable,Categorical,Sample average
ClimAfr02_exposure index,false,2.9615092277526855
ClimAfr03_sensitivity index,false,2.704658576420375
bat_density,false,0.06556282618216105
bio1,false,21.707143238612584
bio12,false,1306.0
bio15,false,29.41629981994629
bio4,false,42.27116448538644
bushmeat,false,2.0
dem,false,898.7142857142857
popdens,false,2018.538813999721
slope,false,1.8203562327793665
