Predictor variable,Categorical,Sample average
ClimAfr02_exposure index,false,2.809259384870529
ClimAfr03_sensitivity index,false,2.6169547821794237
bat_density,false,0.019892225461392497
bio1,false,22.176041637148177
bio12,false,1247.142857142857
bio15,false,43.89734302248274
bio4,false,72.02316539628166
bushmeat,false,0.8035714285714286
dem,false,1181.1964285714287
popdens,false,2431.6552876063756
slope,false,0.8962731046735176
