X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
32.19997,2.94998,train,6.995979595667107E-5,10.374111674744617,0.08874895300293462
32.253056,2.7675,train,0.008511739367586198,86.54933172671662,0.9999877166857324
32.29899,2.77457,train,0.015489116768910075,98.2324567099121,0.999999998841618
32.27083,2.78981,train,0.0018420545150108442,64.27524047667846,0.913451000673051
32.28052,2.78006,train,0.005038627079481566,79.81377500574759,0.9987610295554672
32.28483,2.75438,train,0.012603503814639054,92.7309007040453,0.9999999464634097
32.28696,2.76501,train,0.01767556846356551,99.99997450608704,0.9999999999365516
32.25821,2.75769,train,0.001608415596456202,63.402936953141406,0.8819528423407418
32.31241,2.76934,train,0.01281382682770947,94.01239962118147,0.9999999595136255
32.33738,2.6232,train,9.669982594297298E-4,56.5808131218295,0.7232364201310725
32.45124,2.89583,train,0.0022765920066706758,68.20306860926138,0.9514080870288228
32.36318,3.11075,train,8.103883270216992E-4,54.03505703291346,0.6592294697850527
32.3097,2.72306,train,7.070115577694601E-4,51.27413250025051,0.6090661557485461
32.33078,2.94645,train,1.9293340929114922E-5,2.8040594852606633,0.02530423796982806
32.2641,2.88287,train,5.378139016687118E-5,7.945941319866901,0.0689524521979239
32.26927,2.83923,train,4.5611629852634997E-4,42.001711549884824,0.4544275042137962
31.71122,1.68531,train,0.0013536236735325275,61.534881538373654,0.8344028578421233
30.65889,-0.61639,train,9.491449670641828E-4,56.3640755036394,0.7165939915923824
32.72498,0.64847,train,4.1218405313076976E-5,5.949932890624494,0.05328374655004453
32.7279,0.64367,train,1.017412523598639E-4,14.378386830581443,0.12642068941665763
32.70111,0.68306,train,5.790685138965112E-4,47.218546839488354,0.5366410561030481
32.53611,0.58639,train,0.00851045258842282,85.70028297746019,0.9999876956706921
32.51545,0.57387,train,4.7104409540183796E-4,42.846669797095174,0.46513994777871737
30.935,0.862,train,7.113777103564413E-4,51.55779302994587,0.6113270627724325
30.93048,0.86472,train,3.9842661295074307E-4,39.01651393348883,0.4109727007251308
30.809,0.94207,train,0.00528288440463329,80.85724966899694,0.9991043437161409
30.80889,0.94166,train,0.009240002199374995,87.47375857145568,0.9999953317047081
30.75078,0.91513,train,0.005151366418119556,80.32893597651194,0.9989333592982357
30.75944,0.93806,train,0.001375131363389148,61.86449802655027,0.8390672660337364
32.501205,0.600755,train,6.449402368599427E-4,49.45829623941721,0.5754643889230608
32.53477,0.62037,train,0.002481065620630839,71.06600849964744,0.9629663195351245
32.5333,0.6167,train,0.0011787352315278353,59.54485492458238,0.7910937838582482
32.4959,0.5824,train,7.071365556402169E-4,51.28223185218389,0.6091310653925284
32.57233,0.336167,train,0.0028652582976272352,72.14042124904807,0.9777697526982853
31.47847,0.68401,train,0.002020295903479195,66.01856517086337,0.9316986783323993
31.46167,0.69167,train,5.434877697331086E-4,45.80546987081081,0.5142137961679635
31.3545,0.544,train,5.961051722976531E-4,47.853902702595114,0.5470100387354371
31.5329,0.7947,train,2.161436932869356E-4,26.919830605192058,0.24958751617057362
31.395,0.5575,train,0.013065079497913933,95.31866150371573,0.999999971002972
31.38847,0.5539,train,0.01364763382912707,96.6835599311569,0.9999999866260417
31.26667,0.53333,train,5.94365463659102E-4,47.773283946783586,0.5459619297629086
31.3333,0.68333,train,0.0020324875099851573,66.08405064845601,0.9327959580038152
31.2856,0.5139,train,0.001589299673002966,62.981478482468596,0.8789167416705249
31.50988,0.49765,train,0.0034385916488379547,73.99695353823016,0.9896206385447369
31.64625,0.58133,train,3.427570426847573E-4,36.52844945410083,0.3657610465475313
31.81972,0.54667,train,0.009562817585111943,89.37628530440684,0.9999969597017677
31.7,0.46667,train,2.1095648740922725E-4,26.4170039066239,0.24439867803701942
31.6678,0.58115,train,7.384197402600077E-4,52.06775936430868,0.6250417419333838
31.58333,0.63333,train,7.786522101911312E-4,52.92381793322263,0.6445556848660976
31.672,0.2,train,6.239801824691833E-4,48.47395133190544,0.5634775074950826
32.59524,0.31084,train,0.004444435698671897,76.90036431574941,0.9972718500100735
32.58111,0.31361,train,0.0026799371006172306,71.5828097879331,0.9715644392551788
32.558,0.32,train,0.005558396619286222,81.41307362467914,0.9993788594243714
32.41667,0.25,train,2.4336703751489728E-4,29.028924343681886,0.2762408536009613
32.47927,0.27949,train,0.002200086533693891,67.07945723078372,0.9462098990942402
33.20317,0.439,train,0.002097225652884047,66.43157432105563,0.9383339732137205
