X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
29.7485,0.0571,train,0.050108095405049985,87.67232535768571,0.9999994768409017
29.76694,0.03389,train,0.023147662996078622,72.44466547613172,0.9987460094778609
29.89806,0.06306,train,0.002893710149616752,46.84639690093964,0.5662343496848234
29.7875,0.0625,train,0.015847647552672806,66.52681752461328,0.9896867084955837
29.725,0.04,train,0.12327672297474103,99.99995332611792,0.9999999999999997
29.93278,0.01583,train,3.138559215811085E-4,18.775383119258766,0.08661015663218907
29.77,0.043,train,0.030990771707242383,78.63158571712388,0.9998696499975015
29.78,0.05,train,0.013135174797665372,62.076322776535136,0.9774356470803539
