Predictor variable,Categorical,Sample average
ClimAfr02_exposure index,false,2.7924703508615494
ClimAfr03_sensitivity index,false,2.6880302131175995
bat_density,false,0.013449966674670577
bio1,false,21.682812452316284
bio12,false,1167.625
bio15,false,36.1893367767334
bio4,false,35.131959438323975
bushmeat,false,1.625000000978853
dem,false,1247.625
popdens,false,1953.1503477096558
slope,false,3.8772059231996536
