Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.01833E-4,15.010077445,0.111838258,0.158605621,0.070422535,0
1.03369E-4,15.256241781,0.113426552,0.156222068,0.070422535,0
1.05191E-4,15.506666801,0.11530572,0.153838514,0.070422535,0
1.07158E-4,15.750366377,0.117330349,0.151554275,0.070422535,0
1.09363E-4,16.009898065,0.119593843,0.149170722,0.070422535,0
1.1131E-4,16.252047083,0.121588296,0.146985798,0.070422535,0
1.13071E-4,16.510245983,0.123387348,0.144701559,0.070422535,0
1.15442E-4,16.750454832,0.125805495,0.14261595,0.070422535,0
1.16926E-4,17.006312501,0.127314921,0.140431026,0.070422535,0
1.19364E-4,17.254499647,0.129789172,0.138345417,0.070422535,0
1.21683E-4,17.507932707,0.132136233,0.136259807,0.070422535,0
1.23034E-4,17.752578101,0.133500742,0.134273513,0.070422535,0
1.24926E-4,18.001053165,0.135407655,0.132287218,0.070422535,0
1.27625E-4,18.253038032,0.138121247,0.130300924,0.070422535,0
1.29263E-4,18.509958595,0.139764681,0.128314629,0.070422535,0
1.31323E-4,18.757434185,0.141825152,0.126427649,0.070422535,0
1.33291E-4,19.00909357,0.143790683,0.124540669,0.070422535,0
1.35719E-4,19.251350757,0.146208534,0.122753004,0.070422535,0
1.37403E-4,19.510704459,0.147881049,0.120866024,0.070422535,0
1.38697E-4,19.7592528,0.149164571,0.119078359,0.070422535,0
1.41101E-4,20.01089706,0.151543062,0.117290694,0.070422535,0
1.43465E-4,20.253128274,0.153876238,0.115602344,0.084507042,0
1.45859E-4,20.513055086,0.156232228,0.113814679,0.098591549,0
1.49099E-4,20.763619058,0.159409789,0.112126328,0.098591549,0
1.51419E-4,21.003936317,0.161677797,0.110537293,0.098591549,0
1.54245E-4,21.263779389,0.164432822,0.108848942,0.098591549,0
1.55597E-4,21.511762215,0.165747802,0.107259907,0.098591549,0
1.58139E-4,21.762806755,0.168214164,0.105670871,0.098591549,0
1.59974E-4,22.001162161,0.169989698,0.10418115,0.098591549,0
1.62365E-4,22.25943897,0.172297562,0.102592114,0.112676056,0
1.64858E-4,22.5049127,0.174697096,0.101102393,0.112676056,0
1.66431E-4,22.75351879,0.176207581,0.099612673,0.112676056,0
1.68E-4,23.004388039,0.17771155,0.098122952,0.112676056,0
1.70802E-4,23.258386266,0.180390651,0.096633231,0.112676056,0
1.73382E-4,23.516681239,0.182850103,0.09514351,0.112676056,0
1.76095E-4,23.761567032,0.185427616,0.093753104,0.126760563,0
1.78108E-4,24.009660726,0.187335975,0.092362697,0.126760563,0
1.80499E-4,24.260587085,0.189595817,0.090972291,0.126760563,0
1.83173E-4,24.515868411,0.192115169,0.089581885,0.126760563,0
1.85464E-4,24.756090557,0.194268515,0.088290794,0.126760563,0
1.88302E-4,25.017323117,0.196927129,0.086900387,0.126760563,0
1.92732E-4,25.264940748,0.20106004,0.085609296,0.126760563,0
1.94981E-4,25.517010708,0.203149488,0.084318204,0.126760563,0
1.96903E-4,25.751938281,0.204931183,0.083126428,0.126760563,0
2.00661E-4,26.010409626,0.208403461,0.081835336,0.126760563,0
2.03386E-4,26.253087674,0.210911799,0.080643559,0.126760563,0
2.0616E-4,26.519424887,0.213457456,0.079352468,0.14084507,0
2.09932E-4,26.768965925,0.21690501,0.078160691,0.14084507,0
2.13392E-4,27.001418595,0.220054161,0.077068229,0.14084507,0
2.15473E-4,27.258728634,0.221942158,0.075876452,0.154929577,0
2.18084E-4,27.519034275,0.224305021,0.074684676,0.154929577,0
2.22056E-4,27.761448637,0.227885378,0.073592214,0.154929577,0
2.26461E-4,28.008653913,0.23183665,0.072499752,0.154929577,0
2.28702E-4,28.259578903,0.233838455,0.07140729,0.154929577,0
2.31138E-4,28.512618512,0.236009128,0.070314828,0.169014085,0
2.33279E-4,28.768076058,0.237911557,0.069222366,0.169014085,0
2.35826E-4,29.00244215,0.240169534,0.068229218,0.169014085,0
2.37829E-4,29.263096405,0.241939742,0.067136756,0.169014085,0
2.4011E-4,29.501886885,0.243951115,0.066143609,0.169014085,0
2.44095E-4,29.768643912,0.24745187,0.065051147,0.169014085,0
2.47325E-4,30.014191353,0.250277001,0.064058,0.169014085,0
2.51679E-4,30.263589285,0.254069519,0.063064853,0.169014085,0
2.55914E-4,30.51726418,0.257739846,0.062071705,0.169014085,0
2.59621E-4,30.775742175,0.260937085,0.061078558,0.183098592,0
2.62634E-4,31.011156396,0.263526464,0.060184725,0.183098592,0
2.68287E-4,31.276090953,0.268358999,0.059191578,0.183098592,0
2.70522E-4,31.518824693,0.270261275,0.058297746,0.183098592,0
2.73913E-4,31.764384337,0.273137916,0.057403913,0.183098592,0
2.78335E-4,32.013349845,0.276871814,0.05651008,0.183098592,0
2.8202E-4,32.265464863,0.279968018,0.055616248,0.183098592,0
2.84576E-4,32.521035094,0.282108793,0.054722415,0.183098592,0
2.87929E-4,32.750680724,0.28490636,0.053927898,0.183098592,0
2.91354E-4,33.011661822,0.287753237,0.053034065,0.197183099,0
2.94374E-4,33.27583208,0.290254545,0.052140232,0.197183099,0
2.9836E-4,33.513162762,0.293541305,0.051345715,0.197183099,0
3.00994E-4,33.75304949,0.295705278,0.050551197,0.197183099,0
3.04921E-4,34.025482449,0.298919692,0.049657364,0.197183099,0
3.09281E-4,34.271502188,0.302470455,0.048862846,0.197183099,0
3.13825E-4,34.521130357,0.306152482,0.048068329,0.197183099,0
3.18739E-4,34.774863535,0.310111652,0.047273811,0.197183099,0
3.23103E-4,35.031633353,0.313609127,0.046479293,0.197183099,0
3.25947E-4,35.258654585,0.315878913,0.04578409,0.197183099,0
3.32316E-4,35.521639302,0.320934776,0.044989572,0.211267606,0
3.36963E-4,35.756120253,0.324600206,0.044294369,0.211267606,0
3.42726E-4,36.027841295,0.329118555,0.043499851,0.211267606,0
3.51385E-4,36.270735214,0.335850522,0.042804648,0.211267606,0
3.56318E-4,36.518697278,0.339654928,0.042109445,0.211267606,0
3.63168E-4,36.771395437,0.344902546,0.041414242,0.225352113,0
3.66051E-4,37.026649391,0.347098486,0.040719039,0.225352113,0
3.69249E-4,37.284111911,0.349525631,0.040023836,0.225352113,0
3.75176E-4,37.507596704,0.353999994,0.039427947,0.225352113,0
3.80755E-4,37.772106145,0.358184051,0.038732744,0.23943662,0
3.84713E-4,38.002007706,0.36113617,0.038136856,0.23943662,0
3.93089E-4,38.275170141,0.367337736,0.037441653,0.253521127,0
3.96794E-4,38.512080987,0.370062318,0.036845764,0.253521127,0
4.04011E-4,38.752722224,0.375334798,0.036249876,0.253521127,0
4.09352E-4,39.038226093,0.379208715,0.035554673,0.253521127,0
4.15969E-4,39.286365266,0.383974207,0.034958784,0.253521127,0
4.2115E-4,39.537597135,0.387680037,0.034362896,0.253521127,0
4.24081E-4,39.791499474,0.389767166,0.033767008,0.253521127,0
4.27339E-4,40.004164723,0.392077979,0.033270434,0.253521127,0
4.31509E-4,40.261921173,0.395023408,0.032674546,0.253521127,0
4.39866E-4,40.52325613,0.40088321,0.032078657,0.253521127,0
4.51892E-4,40.791688202,0.409216217,0.031482769,0.253521127,0
4.58831E-4,41.019325254,0.413971147,0.030986195,0.267605634,0
4.6263E-4,41.295573119,0.416558315,0.030390307,0.267605634,0
4.67367E-4,41.528054778,0.419768734,0.029893733,0.267605634,0
4.71412E-4,41.76292952,0.422495592,0.02939716,0.267605634,0
4.75401E-4,42.046871227,0.425172768,0.028801271,0.281690141,0
4.7905E-4,42.285733709,0.427609984,0.028304698,0.295774648,0
4.81369E-4,42.525945959,0.429154028,0.027808124,0.295774648,0
4.85159E-4,42.767909809,0.431668621,0.02731155,0.295774648,0
4.89358E-4,43.011484377,0.434440875,0.026814977,0.295774648,0
4.95818E-4,43.258165364,0.438680279,0.026318403,0.295774648,0
5.07669E-4,43.51008583,0.446374685,0.025821829,0.295774648,0
5.15434E-4,43.766444015,0.451358761,0.025325256,0.295774648,0
5.31585E-4,44.028343493,0.461582686,0.024828682,0.295774648,0
5.39979E-4,44.296222224,0.466820357,0.024332108,0.295774648,0
5.49709E-4,44.515154314,0.472828394,0.02393485,0.295774648,0
5.52266E-4,44.790663252,0.474396107,0.023438276,0.309859155,0
5.56559E-4,45.012481384,0.47701735,0.023041017,0.309859155,0
5.59789E-4,45.291988603,0.478981389,0.022544443,0.309859155,0
5.77354E-4,45.521434735,0.48953191,0.022147184,0.309859155,0
5.82823E-4,45.753879617,0.492772628,0.021749926,0.309859155,0
5.97228E-4,46.047951617,0.501211754,0.021253352,0.323943662,0
6.01083E-4,46.287909175,0.503446188,0.020856093,0.323943662,0
6.17239E-4,46.532273741,0.512702335,0.020458834,0.352112676,0
6.2687E-4,46.781418152,0.518137385,0.020061575,0.352112676,0
6.38258E-4,47.035721649,0.52448629,0.019664316,0.352112676,0
6.46485E-4,47.292993997,0.529021063,0.019267057,0.352112676,0
6.66766E-4,47.556885206,0.540015272,0.018869798,0.352112676,0
6.78943E-4,47.759314451,0.546493216,0.018571854,0.352112676,0
6.85255E-4,48.032653837,0.549814808,0.018174595,0.366197183,0
6.99642E-4,48.309406886,0.557295307,0.017777336,0.38028169,0
7.08179E-4,48.521002971,0.561674953,0.017479392,0.38028169,0
7.1462E-4,48.806358994,0.564950997,0.017082133,0.38028169,0
7.38183E-4,49.02514521,0.576727648,0.016784189,0.38028169,0
7.58227E-4,49.325549902,0.586494171,0.01638693,0.38028169,0
7.67075E-4,49.554993774,0.59073382,0.016088986,0.394366197,0
7.86239E-4,49.787848171,0.599767425,0.015791042,0.394366197,0
8.07603E-4,50.028587998,0.609602716,0.015493098,0.394366197,0
8.27855E-4,50.273378606,0.618703576,0.015195153,0.394366197,0
8.34767E-4,50.52318917,0.621760816,0.014897209,0.394366197,0
8.44911E-4,50.77550048,0.626203025,0.014599265,0.394366197,0
8.81448E-4,51.035216647,0.64177567,0.014301321,0.394366197,0
9.0925E-4,51.304234801,0.653189249,0.014003377,0.394366197,0
9.41308E-4,51.582992658,0.665899521,0.013705433,0.394366197,0
9.55436E-4,51.773904936,0.671351949,0.013506803,0.394366197,0
1.02132E-3,52.073834242,0.695628351,0.013208859,0.394366197,0
1.0347E-3,52.279844547,0.700332164,0.013010229,0.394366197,0
1.05796E-3,52.593715477,0.708342514,0.012712285,0.394366197,0
1.06647E-3,52.806698112,0.71122028,0.012513656,0.408450704,0
1.07493E-3,53.021448811,0.714049673,0.012315026,0.408450704,0
1.14247E-3,53.356040791,0.735682331,0.012017082,0.422535211,0
1.16263E-3,53.587276137,0.741815028,0.011818453,0.422535211,0
1.19416E-3,53.823929803,0.751124904,0.011619823,0.436619718,0
1.20404E-3,54.064109921,0.753971179,0.011421194,0.436619718,0
1.23615E-3,54.310308303,0.763002042,0.011222564,0.450704225,0
1.25805E-3,54.559800757,0.768971765,0.011023935,0.464788732,0
1.27126E-3,54.812965288,0.77249937,0.010825305,0.464788732,0
1.30454E-3,55.072538611,0.781147839,0.010626676,0.464788732,0
1.31146E-3,55.334533315,0.782904836,0.010428046,0.464788732,0
1.33191E-3,55.600864826,0.788013022,0.010229417,0.464788732,0
1.34664E-3,55.870153716,0.791618917,0.010030788,0.464788732,0
1.34853E-3,56.005007178,0.792079144,0.009931473,0.464788732,0
1.42442E-3,56.282968335,0.809667393,0.009732843,0.478873239,0
